id,prediction,pred_type,severity,ground_truth,gt_type,error,reason
h01,幻觉,政策编造,High,幻觉,政策编造,,无理由退货周期与知识库冲突
h02,幻觉,参数编造,High,幻觉,参数编造,,蓝牙版本错误
h03,幻觉,能力越界,High,幻觉,能力越界,,系统能力边界与回复中的执行承诺冲突，属于假装调用不存在的系统能力。
h04,幻觉,政策偏差,High,幻觉,政策偏差,,发票类型与知识库冲突
h05,幻觉,优惠编造,High,幻觉,优惠编造,,优惠活动不存在
h06,幻觉,参数编造,High,幻觉,参数编造,,材质参数错误
h07,幻觉,信息编造,High,幻觉,信息编造,,杜撰具体退货地址
h08,幻觉,政策偏差,High,幻觉,政策偏差,,发货时限与知识库冲突
h09,幻觉,参数编造,High,幻觉,参数编造,,知识库未提供却肯定支持该功能
h10,幻觉,能力越界,High,幻觉,能力越界,,系统能力边界与回复中的执行承诺冲突，属于假装调用不存在的系统能力。
h11,幻觉,信息编造,High,幻觉,信息编造,,杜撰线下门店
h12,正常,,None,正常,,,回复与知识库没有被检测规则识别出的硬冲突或能力越界。
h13,幻觉,安全误导,Critical,幻觉,安全误导,,回复把知识库中的风险提示弱化为可放心使用，可能影响用户健康决策。
h14,幻觉,能力越界,High,幻觉,能力越界,,系统能力边界与回复中的执行承诺冲突，属于假装调用不存在的系统能力。
h15,幻觉,信息编造,High,幻觉,信息编造,,杜撰品牌关联关系
h16,正常,,None,正常,,,回复与知识库没有被检测规则识别出的硬冲突或能力越界。
h17,幻觉,参数编造,High,幻觉,参数编造,,接口类型错误
h18,幻觉,能力越界,High,幻觉,能力越界,,系统能力边界与回复中的执行承诺冲突，属于假装调用不存在的系统能力。
h19,幻觉,优惠编造,High,幻觉,优惠编造,,学生认证入口属于额外编造
h20,正常,,None,幻觉,信息遗漏,FN,回复与知识库没有被检测规则识别出的硬冲突或能力越界。
